1.613929347 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.617453063 10.0.0.1:46396 10.0.0.3:5001 32 0x6327bba6 0x6325c43e 90 2147483647 170496 275707 29696
1.621716543 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.625010455 10.0.0.1:46396 10.0.0.3:5001 32 0x6327d246 0x6325cf8e 92 2147483647 170496 282591 29696
1.628555645 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.633439141 10.0.0.1:46396 10.0.0.3:5001 32 0x6327e8e6 0x6325dade 94 2147483647 170496 288580 29696
1.636331384 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.640403398 10.0.0.1:46396 10.0.0.3:5001 32 0x6327ff86 0x6325e62e 96 2147483647 170496 294873 29696
1.644200724 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.648205643 10.0.0.1:46396 10.0.0.3:5001 32 0x63281626 0x6325f17e 98 2147483647 170496 300312 29696
1.651655442 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.656679141 10.0.0.1:46396 10.0.0.3:5001 32 0x63282cc6 0x6325fcce 100 2147483647 170496 305494 29696
1.659417656 10.0.0.3:5001 10.0.0.1:46396 1480 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.663148479 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.663466086 10.0.0.1:46396 10.0.0.3:5001 32 0x63284366 0x6326081e 102 2147483647 170496 311086 29696
1.670840861 10.0.0.3:5001 10.0.0.1:46396 1480 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.671241559 10.0.0.1:46396 10.0.0.3:5001 32 0x63285a06 0x6326136e 104 2147483647 170496 315850 29696
1.675038052 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.678918781 10.0.0.1:46396 10.0.0.3:5001 32 0x632870a6 0x63261ebe 106 2147483647 170496 320990 29696
1.682380804 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.686522658 10.0.0.1:46396 10.0.0.3:5001 32 0x63288cee 0x63262a0e 108 2147483647 170496 325570 29696
1.690139695 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 170496
1.695002919 10.0.0.1:46396 10.0.0.3:5001 32 0x6328a38e 0x6326355e 110 2147483647 170496 330526 29696
1.697877702 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 176640
1.702781348 10.0.0.1:46396 10.0.0.3:5001 32 0x6328ba2e 0x632640ae 112 2147483647 170496 334962 29696
1.705723449 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 182272
1.709616713 10.0.0.1:46396 10.0.0.3:5001 32 0x6328d0ce 0x63264bfe 114 2147483647 170496 339816 29696
1.713158273 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 187904
1.717385494 10.0.0.1:46396 10.0.0.3:5001 32 0x6328e76e 0x6326574e 116 2147483647 170496 343963 29696
1.721259058 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 194048
1.725749016 10.0.0.1:46396 10.0.0.3:5001 32 0x6328f2be 0x6326629e 118 2147483647 170496 348562 29696
1.728520032 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 199680
1.732708958 10.0.0.1:46396 10.0.0.3:5001 32 0x6328fe0e 0x63266dee 120 2147483647 170496 352645 29696
1.736564262 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 205312
1.743910495 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 210944
1.744194290 10.0.0.1:46396 10.0.0.3:5001 32 0x6329095e 0x6326793e 122 2147483647 170496 357086 29696
1.751596983 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 217088
1.756087648 10.0.0.1:46396 10.0.0.3:5001 32 0x63291ffe 0x63268a36 125 2147483647 170496 361469 29696
1.759376995 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 222720
1.763435278 10.0.0.1:46396 10.0.0.3:5001 32 0x63292b4e 0x63269b2e 128 2147483647 170496 366789 29696
1.767219782 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 228352
1.772001625 10.0.0.2:46110 10.0.0.4:5001 32 0x6d465fd0 0x6d449b50 80 2147483647 170496 282039 29696
1.774669128 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.778937860 10.0.0.2:46110 10.0.0.4:5001 32 0x6d467670 0x6d44a6a0 82 2147483647 176640 297288 29696
1.782391702 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
