2.452682044 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 170496
2.458536956 10.0.0.1:43556 10.0.0.3:5001 32 0xcb9792ce 0xcb962e76 63 2147483647 170496 393782 29696
2.460430353 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 170496
2.467310333 10.0.0.2:43266 10.0.0.4:5001 32 0x78554683 0x7853a99b 73 2147483647 170496 382194 29696
2.468054370 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 170496
2.474388650 10.0.0.2:43266 10.0.0.4:5001 32 0x78555d23 0x7853b4eb 75 2147483647 170496 388584 29696
2.475736301 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 170496
2.481886807 10.0.0.2:43266 10.0.0.4:5001 32 0x785573c3 0x7853c03b 77 2147483647 170496 395059 29696
2.483441234 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 170496
2.489342381 10.0.0.2:43266 10.0.0.4:5001 32 0x78558a63 0x7853cb8b 79 2147483647 170496 400692 29696
2.491181460 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 170496
2.495557373 10.0.0.1:43556 10.0.0.3:5001 32 0xcb97a96e 0xcb9639c6 65 2147483647 170496 398521 29696
2.498811426 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 176640
2.500993620 10.0.0.1:43556 10.0.0.3:5001 32 0xcb97c00e 0xcb964516 67 2147483647 170496 404942 29696
2.506501011 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 182272
2.508807805 10.0.0.1:43556 10.0.0.3:5001 32 0xcb97d6ae 0xcb965066 69 2147483647 170496 411239 29696
2.514187882 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 187904
2.516536207 10.0.0.1:43556 10.0.0.3:5001 32 0xcb97ed4e 0xcb965bb6 71 2147483647 170496 416635 29696
2.521883573 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 194048
2.524876091 10.0.0.1:43556 10.0.0.3:5001 32 0xcb9803ee 0xcb966706 73 2147483647 170496 422323 29696
2.529597996 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 199680
2.531618367 10.0.0.1:43556 10.0.0.3:5001 32 0xcb981a8e 0xcb967256 75 2147483647 170496 427368 29696
2.537278919 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 170496
2.539492863 10.0.0.1:43556 10.0.0.3:5001 32 0xcb98312e 0xcb967da6 77 2147483647 170496 432625 29696
2.544953835 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 170496
2.547318562 10.0.0.1:43556 10.0.0.3:5001 32 0xcb9847ce 0xcb9688f6 79 2147483647 170496 437396 29696
2.553120234 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 170496
2.560326296 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 170496
2.568330725 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 170496
2.572655014 10.0.0.2:43266 10.0.0.4:5001 32 0x785595b3 0x7853d133 80 2147483647 170496 406553 29696
2.575725105 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 170496
2.576297980 10.0.0.2:43266 10.0.0.4:5001 32 0x7855ac53 0x7853dc83 82 2147483647 170496 396362 29696
2.583430779 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 170496
2.583972713 10.0.0.2:43266 10.0.0.4:5001 32 0x7855c2f3 0x7853e7d3 84 2147483647 170496 387899 29696
