1.519486412 10.0.0.3:5001 10.0.0.1:45448 2928 0x433bda79 0x433bda79 10 2147483647 29696 188000 170496
1.519788459 10.0.0.1:45448 10.0.0.3:5001 32 0xa7b25a30 0xa7b14508 49 2147483647 139264 227755 29696
1.527171039 10.0.0.3:5001 10.0.0.1:45448 2928 0x433bda79 0x433bda79 10 2147483647 29696 188000 170496
1.527502464 10.0.0.2:45158 10.0.0.4:5001 32 0xf009fc81 0xf0085f99 73 2147483647 170496 201880 29696
1.534866114 10.0.0.3:5001 10.0.0.1:45448 2928 0x433bda79 0x433bda79 10 2147483647 29696 188000 170496
1.535164561 10.0.0.2:45158 10.0.0.4:5001 32 0xf00a1321 0xf0086ae9 75 2147483647 170496 207057 29696
1.542562775 10.0.0.3:5001 10.0.0.1:45448 2928 0x433bda79 0x433bda79 10 2147483647 29696 188000 170496
1.542880207 10.0.0.2:45158 10.0.0.4:5001 32 0xf00a29c1 0xf0087639 77 2147483647 170496 212545 29696
1.550260481 10.0.0.3:5001 10.0.0.1:45448 2928 0x433bda79 0x433bda79 10 2147483647 29696 188000 170496
1.550647348 10.0.0.2:45158 10.0.0.4:5001 32 0xf00a4061 0xf0088189 79 2147483647 170496 217332 29696
1.554547201 10.0.0.1:45448 10.0.0.3:5001 32 0xa7b270d0 0xa7b15058 51 2147483647 144896 229710 29696
1.557957582 10.0.0.3:5001 10.0.0.1:45448 2928 0x433bda79 0x433bda79 10 2147483647 29696 188000 170496
1.563314455 10.0.0.1:45448 10.0.0.3:5001 32 0xa7b28770 0xa7b15ba8 53 2147483647 151040 233324 29696
1.565682003 10.0.0.3:5001 10.0.0.1:45448 2928 0x433bda79 0x433bda79 10 2147483647 29696 188000 170496
1.570177149 10.0.0.1:45448 10.0.0.3:5001 32 0xa7b29e10 0xa7b166f8 55 2147483647 156672 237582 29696
1.573331300 10.0.0.3:5001 10.0.0.1:45448 2928 0x433bda79 0x433bda79 10 2147483647 29696 188000 170496
1.577923861 10.0.0.1:45448 10.0.0.3:5001 32 0xa7b2b4b0 0xa7b17248 57 2147483647 162304 241285 29696
1.581044164 10.0.0.3:5001 10.0.0.1:45448 1480 0x433bda79 0x433bda79 10 2147483647 29696 188000 170496
