2.440761597 10.0.0.1:43608 10.0.0.3:5001 32 0xa8704f92 0xa86ebdfa 71 2147483647 170496 372404 29696
2.441554653 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 170496
2.448873332 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a32485 0xb2a24d95 38 37 162304 386403 29696
2.449217257 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 170496
2.456635285 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a32fd5 0xb2a258e5 39 37 168448 390406 29696
2.456937131 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 170496
2.464121398 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a33b25 0xb2a26435 39 37 170496 394877 29696
2.464594496 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 170496
2.471301214 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a34675 0xb2a26f85 39 37 170496 398767 29696
2.472298588 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 170496
2.479653756 10.0.0.1:43608 10.0.0.3:5001 32 0xa8706632 0xa86ec94a 73 2147483647 170496 378087 29696
2.479950488 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 170496
2.486939866 10.0.0.1:43608 10.0.0.3:5001 32 0xa8707cd2 0xa86ed49a 75 2147483647 170496 384948 29696
2.487701367 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 170496
2.495290186 10.0.0.1:43608 10.0.0.3:5001 32 0xa8709372 0xa86edfea 77 2147483647 170496 391861 29696
2.495413805 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 170496
2.501666423 10.0.0.1:43608 10.0.0.3:5001 32 0xa870aa12 0xa86eeb3a 79 2147483647 170496 398091 29696
2.503118360 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 170496
2.505974897 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a351c5 0xb2a27ad5 39 37 170496 403066 29696
2.511276763 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 176640
2.513318564 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a35d15 0xb2a28625 39 37 170496 408624 29696
2.519122245 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 182272
2.521990730 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a36865 0xb2a29175 39 37 170496 414405 29696
2.526168286 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 187904
2.529414432 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a373b5 0xb2a29cc5 39 37 170496 419700 29696
2.534656319 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 194048
2.536679575 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a37f05 0xb2a2a815 39 37 170496 425261 29696
2.543506970 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 199680
2.544547558 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a38a55 0xb2a2b365 39 37 170496 430056 29696
2.549371798 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 205312
2.552212220 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a395a5 0xb2a2beb5 39 37 170496 435234 29696
2.557116897 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 210944
2.564600007 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 217088
2.572745510 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 222720
2.580567311 10.0.0.3:5001 10.0.0.1:43608 1480 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 228352
2.584554144 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 231424
2.584653195 10.0.0.1:43608 10.0.0.3:5001 32 0xa870b562 0xa86ef0e2 80 2147483647 170496 404338 29696
2.588206888 10.0.0.1:43608 10.0.0.3:5001 32 0xa870cc02 0xa86efc32 82 2147483647 170496 394324 29696
2.592304775 10.0.0.3:5001 10.0.0.1:43608 1480 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 237056
2.595400634 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 240128
2.595905422 10.0.0.1:43608 10.0.0.3:5001 32 0xa870e2a2 0xa86f0782 84 2147483647 170496 386005 29696
2.603068702 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 245760
2.603613755 10.0.0.1:43608 10.0.0.3:5001 32 0xa870f39a 0xa86f12d2 86 2147483647 170496 379318 29696
2.610896721 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 170496
2.611315618 10.0.0.1:43608 10.0.0.3:5001 32 0xa8710a3a 0xa86f1e22 88 2147483647 170496 374430 29696
2.618712831 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 170496
2.618991202 10.0.0.1:43608 10.0.0.3:5001 32 0xa87120da 0xa86f2972 90 2147483647 170496 370143 29696
2.626115143 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 170496
2.626630908 10.0.0.1:43608 10.0.0.3:5001 32 0xa871377a 0xa86f34c2 92 2147483647 170496 367351 29696
2.633866830 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 170496
2.634340669 10.0.0.1:43608 10.0.0.3:5001 32 0xa8714e1a 0xa86f4012 94 2147483647 170496 364930 29696
2.642050434 10.0.0.1:43608 10.0.0.3:5001 32 0xa87164ba 0xa86f4b62 96 2147483647 170496 363775 29696
2.642082783 10.0.0.4:5001 10.0.0.2:43322 1480 0x937c160b 0x937c160b 10 2147483647 29696 344000 170496
2.645647638 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 173568
2.650770970 10.0.0.1:43608 10.0.0.3:5001 32 0xa8717b5a 0xa86f56b2 98 2147483647 170496 362710 29696
2.653042868 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 179200
2.657639439 10.0.0.1:43608 10.0.0.3:5001 32 0xa87191fa 0xa86f6202 100 2147483647 170496 362258 29696
2.660718285 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 185344
2.665171102 10.0.0.1:43608 10.0.0.3:5001 32 0xa871a89a 0xa86f6d52 102 2147483647 170496 362721 29696
2.668398065 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 190976
2.674306152 10.0.0.1:43608 10.0.0.3:5001 32 0xa871bf3a 0xa86f78a2 104 2147483647 176640 363139 29696
2.676120717 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 251904
2.682046555 10.0.0.1:43608 10.0.0.3:5001 32 0xa871d5da 0xa86f83f2 106 2147483647 182272 364647 29696
2.684021728 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 257536
2.688487600 10.0.0.1:43608 10.0.0.3:5001 32 0xa871f222 0xa86f8f42 108 2147483647 187904 366083 29696
2.691488027 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 263168
2.697318143 10.0.0.1:43608 10.0.0.3:5001 32 0xa87208c2 0xa86f9a92 110 2147483647 194048 368144 29696
2.699174607 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 269312
2.706416732 10.0.0.1:43608 10.0.0.3:5001 32 0xa8721f62 0xa86fa5e2 112 2147483647 199680 370127 29696
2.706869214 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 274944
2.711488908 10.0.0.1:43608 10.0.0.3:5001 32 0xa8723602 0xa86fb132 114 2147483647 205312 373000 29696
2.714538911 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 280576
2.719190577 10.0.0.1:43608 10.0.0.3:5001 32 0xa8724ca2 0xa86fbc82 116 2147483647 210944 375174 29696
2.723062372 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 286720
2.726653980 10.0.0.1:43608 10.0.0.3:5001 32 0xa8726342 0xa86fc7d2 118 2147483647 217088 378039 29696
2.730425510 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 292352
2.735718711 10.0.0.1:43608 10.0.0.3:5001 32 0xa87279e2 0xa86fd322 120 2147483647 222720 380498 29696
2.737626032 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 196608
2.742626835 10.0.0.1:43608 10.0.0.3:5001 32 0xa8729082 0xa86fde72 122 2147483647 228352 383782 29696
2.746465326 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 202240
