1.428755480 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 170496
1.433863616 10.0.0.2:40434 10.0.0.4:5001 32 0x638d548e 0x638c1d76 55 2147483647 156672 210476 29696
1.436440623 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 170496
1.440759836 10.0.0.1:40720 10.0.0.3:5001 32 0xd68d387 0xd67911f 57 2147483647 162304 186723 29696
1.444555040 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 170496
1.448460187 10.0.0.1:40720 10.0.0.3:5001 32 0xd68ea27 0xd679c6f 59 2147483647 168448 191311 29696
1.452419975 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 170496
1.456421695 10.0.0.1:40720 10.0.0.3:5001 32 0xd6900c7 0xd67a7bf 61 2147483647 170496 196287 29696
1.459510249 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 170496
1.465097042 10.0.0.1:40720 10.0.0.3:5001 32 0xd691767 0xd67b30f 63 2147483647 170496 200603 29696
1.467199996 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 170496
1.471959056 10.0.0.2:40434 10.0.0.4:5001 32 0x638d6b2e 0x638c28c6 57 2147483647 162304 211649 29696
1.474899226 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 170496
1.479813333 10.0.0.2:40434 10.0.0.4:5001 32 0x638d81ce 0x638c3416 59 2147483647 168448 215095 29696
1.482642724 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 170496
1.487238265 10.0.0.2:40434 10.0.0.4:5001 32 0x638d986e 0x638c3f66 61 2147483647 170496 219092 29696
1.490275055 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 170496
1.495342534 10.0.0.2:40434 10.0.0.4:5001 32 0x638daf0e 0x638c4ab6 63 2147483647 170496 222543 29696
1.498283119 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 170496
