0.881298451 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 170496
0.886641932 10.0.0.2:40468 10.0.0.4:5001 32 0x571ce74f 0x571b9f3f 59 56 170496 190396 29696
0.889646807 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 170496
0.894464794 10.0.0.2:40468 10.0.0.4:5001 32 0x571cf29f 0x571baa8f 59 56 170496 193547 29696
0.896021300 10.0.0.4:5001 10.0.0.2:40468 1480 0x61752024 0x61752024 10 2147483647 29696 48000 170496
0.900543397 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 170496
0.902344493 10.0.0.2:40468 10.0.0.4:5001 32 0x571d093f 0x571bb5df 60 56 170496 196737 29696
0.908164151 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 170496
0.910712634 10.0.0.2:40468 10.0.0.4:5001 32 0x571d148f 0x571bc12f 60 56 170496 199529 29696
0.915578304 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 176640
0.921811313 10.0.0.2:40468 10.0.0.4:5001 32 0x571d1fdf 0x571bcc7f 60 56 170496 202139 29696
0.922877706 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 182272
0.929602374 10.0.0.2:40468 10.0.0.4:5001 32 0x571d2b2f 0x571bdd77 60 56 170496 204794 29696
0.931598974 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 187904
0.937369418 10.0.0.2:40468 10.0.0.4:5001 32 0x571d367f 0x571be8c7 60 56 176640 206186 29696
0.939329775 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 194048
0.944210010 10.0.0.2:40468 10.0.0.4:5001 32 0x571d41cf 0x571bf417 60 56 182272 207465 29696
0.946746342 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 199680
0.952662670 10.0.0.2:40468 10.0.0.4:5001 32 0x571d4d1f 0x571bff67 60 56 187904 208388 29696
0.953963989 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 205312
0.960399263 10.0.0.2:40468 10.0.0.4:5001 32 0x571d586f 0x571c0ab7 60 56 194048 209239 29696
0.961789706 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 210944
0.967795701 10.0.0.2:40468 10.0.0.4:5001 32 0x571d63bf 0x571c1607 60 56 199680 210949 29696
0.969628500 10.0.0.4:5001 10.0.0.2:40468 1480 0x61752024 0x61752024 10 2147483647 29696 48000 217088
0.973512397 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 219648
0.975008040 10.0.0.2:40468 10.0.0.4:5001 32 0x571d7a5f 0x571c2157 61 56 205312 212557 29696
0.980912397 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 225792
0.982843791 10.0.0.2:40468 10.0.0.4:5001 32 0x571d85af 0x571c2ca7 61 56 210944 213833 29696
0.989243051 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 231424
0.990681040 10.0.0.2:40468 10.0.0.4:5001 32 0x571d90ff 0x571c37f7 61 56 217088 214996 29696
0.994995516 10.0.0.2:40468 10.0.0.4:5001 32 0x571d96a7 0x571c3d9f 61 56 219648 216018 29696
0.995910950 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 237056
1.001977955 10.0.0.2:40468 10.0.0.4:5001 32 0x571da1f7 0x571c48ef 61 56 225792 216897 29696
1.003765795 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 243200
1.010434424 10.0.0.2:40468 10.0.0.4:5001 32 0x571dad47 0x571c543f 61 56 231424 217507 29696
1.011546900 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 248832
1.017081892 10.0.0.2:40468 10.0.0.4:5001 32 0x571db897 0x571c5f8f 61 56 237056 218245 29696
1.019670801 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 254464
1.025274095 10.0.0.2:40468 10.0.0.4:5001 32 0x571dc3e7 0x571c6adf 61 56 243200 218851 29696
1.027197074 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 260608
1.032656850 10.0.0.2:40468 10.0.0.4:5001 32 0x571dcf37 0x571c762f 61 56 248832 219320 29696
1.034640460 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 266240
1.040729231 10.0.0.2:40468 10.0.0.4:5001 32 0x571dda87 0x571c817f 61 56 254464 219670 29696
1.042385190 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 271872
1.048265299 10.0.0.2:40468 10.0.0.4:5001 32 0x571de5d7 0x571c8ccf 61 56 260608 220135 29696
1.050227759 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 278016
1.056089033 10.0.0.2:40468 10.0.0.4:5001 32 0x571df127 0x571c981f 62 56 266240 220481 29696
1.058044574 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 283648
1.063869940 10.0.0.2:40468 10.0.0.4:5001 32 0x571dfc77 0x571ca36f 62 56 271872 220830 29696
1.065924256 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 289280
1.071310118 10.0.0.2:40468 10.0.0.4:5001 32 0x571e07c7 0x571caebf 62 56 278016 221040 29696
1.072846960 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 294912
1.079758531 10.0.0.2:40468 10.0.0.4:5001 32 0x571e1317 0x571cba0f 62 56 283648 221298 29696
1.080517675 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 301056
